"","Name","Geography1","cat1","cat2","cat3","cat4","cat5","cat6","cat7","cat8","cat9","cat10","cat11","cat12","cat13","cat14","cat15","cat16","cat17","cat18"
"198","Three Rivers","Non-metropolitan District",5430,6318,6145,5113,4198,5166,5146,6603,6745,6898,7073,6258,5061,4395,4424,2955,2502,2615
"199","Watford","Non-metropolitan District",7108,7082,6247,5194,4820,6678,8169,8681,7445,6756,6315,5325,4296,3467,3132,2285,1861,1906
"200","Welwyn Hatfield","Non-metropolitan District",7253,7666,6770,7685,13084,9655,8621,8220,7079,7413,7597,7161,5705,4789,4664,3315,2878,3191
"201","Norfolk","County",46256,50533,47458,46210,53223,51314,52017,50563,47591,58555,63410,60793,56497,57515,60357,40474,30594,30320
"202","Breckland","Non-metropolitan District",7491,8006,7359,6664,7000,7699,7996,7743,7213,9149,10034,9656,8835,9076,9598,6279,4859,4672
"203","Broadland","Non-metropolitan District",5943,7002,6936,6507,5660,6042,6588,7229,7370,9381,9935,9275,8392,8547,9136,6124,4777,4620
"204","Great Yarmouth","Non-metropolitan District",5447,5750,5493,5284,5381,5512,5823,5288,4924,6243,7086,6713,6406,6462,6755,4503,3099,3201
"205","King's Lynn and West Norfolk","Non-metropolitan District",8188,8767,8061,7189,7109,7720,8606,8109,7710,9704,10832,10630,10002,10304,10803,7507,5474,5096
"206","North Norfolk","Non-metropolitan District",4132,4734,4760,4447,4308,4388,4611,4527,4601,6190,7418,7964,8159,8864,9389,6179,4918,4963
"207","Norwich","Non-metropolitan District",7877,8010,6867,8953,17951,13279,11055,9501,7591,8069,7946,7021,6067,5626,5397,3771,2855,3301
"208","South Norfolk","Non-metropolitan District",7178,8264,7982,7166,5814,6674,7338,8166,8182,9819,10159,9534,8636,8636,9279,6111,4612,4467
"209","Suffolk","County",40624,44872,43481,38973,37895,43468,44576,43672,40989,51001,54895,51104,46943,47010,48172,32017,24187,24677
"210","Babergh","Non-metropolitan District",4217,4898,5386,4878,3976,4133,4209,4616,4928,6618,7151,6587,6048,6307,6679,4372,3163,3235
"211","Forest Heath","Non-metropolitan District",5034,4715,3380,3072,4762,5485,5314,4222,3025,3387,3998,3851,3336,3201,3212,2120,1638,1647
"212","Ipswich","Non-metropolitan District",9296,9077,8141,7302,8205,10233,10708,9974,8483,9105,9008,8118,7260,6387,5721,3876,3253,3385
"213","Mid Suffolk","Non-metropolitan District",4597,5635,5947,5258,4498,5218,5257,5668,5552,7313,8128,7482,7029,6984,6991,4603,3230,3103
"214","St Edmundsbury","Non-metropolitan District",5868,6800,6624,5750,5549,6551,7410,6978,6282,8099,8268,7292,6378,6552,7081,4800,3506,3694
"215","Suffolk Coastal","Non-metropolitan District",5683,6964,7594,6775,5192,5660,5598,6265,6806,8966,9911,9732,9270,9465,9610,6417,4905,5125
"216","Waveney","Non-metropolitan District",5929,6783,6409,5938,5713,6188,6080,5949,5913,7513,8431,8042,7622,8114,8878,5829,4492,4488
"217","LONDON","Region",615881,599855,524126,464768,563241,784361,849074,783331,646347,596141,564205,479470,378068,309586,265847,189753,147303,146724
"218","Camden","London Borough",14039,15567,13704,14310,22483,29401,26716,22424,17888,16798,15027,12380,10321,9041,8202,5597,3964,4364
"219","City of London","London Borough",435,474,367,304,704,831,562,599,487,610,685,584,500,488,390,288,177,221
"220","Hackney","London Borough",20326,18511,16219,13874,16576,30431,38848,30851,20265,16510,15035,12068,9046,6891,5271,3598,2805,2540
"221","Hammersmith and Fulham","London Borough",11404,11408,9335,7877,14481,19161,19686,16523,14332,12965,11821,9342,7238,5932,5245,3639,2526,2511
"222","Haringey","London Borough",18586,16986,15906,14657,16877,23579,26688,26214,21677,19349,17793,14277,10709,8753,6878,4769,3735,3191
"223","Islington","London Borough",13127,12355,10693,11379,26373,32931,29419,20844,15080,13818,13025,10968,8127,6390,5471,3791,2741,2610
"224","Kensington and Chelsea","London Borough",8223,8749,7736,6705,9373,12137,12798,14032,12323,11226,10977,9679,7758,7136,6571,4563,3112,3099
"225","Lambeth","London Borough",19213,18405,16332,14087,22802,43622,43945,30924,22286,19961,19832,16109,11479,8381,6403,4861,3641,3634
"226","Lewisham","London Borough",21814,20375,17386,14710,18647,28039,30756,30017,23774,21507,19666,16446,11918,8494,6887,5181,4061,3858
"227","Newham","London Borough",28254,24966,21376,20235,27044,38223,41207,33145,23616,21339,18814,15617,11940,8771,6320,4662,3529,2947
"228","Southwark","London Borough",20500,19709,16362,15027,22997,37976,37558,29006,22616,20463,19654,17000,12021,8294,6566,4743,3403,3361
"229","Tower Hamlets","London Borough",22208,21062,17990,16741,27673,41057,43684,32458,23122,17584,14157,11132,8906,6739,4623,3461,2621,2487
"230","Wandsworth","London Borough",21875,19602,14938,12639,20546,39783,43390,34798,24373,20402,17871,14234,11019,9342,7760,5723,4226,3953
"231","Westminster","London Borough",13692,14739,12201,12409,17954,23884,26896,24950,19786,17266,16112,13184,10898,9437,7861,5492,4283,4280
"232","Barking and Dagenham","London Borough",19519,19188,16383,13115,13279,16243,18100,16829,15248,14025,12394,10288,7632,5828,4699,3405,2760,3063
"233","Barnet","London Borough",26512,27839,25061,21030,21648,28724,31978,32116,28407,27485,25599,21577,17943,15721,14261,9720,7771,8748
"234","Bexley","London Borough",15989,16465,15668,13989,14034,17353,16713,17742,15743,16961,17752,15804,12281,10525,10179,7543,6179,6338
"235","Brent","London Borough",24582,22447,19682,18634,22193,26365,29779,27537,22801,21403,20662,19103,15615,12235,9559,7228,5694,5276
"236","Bromley","London Borough",21559,22263,20268,16905,14676,19200,22007,25475,24193,24488,24647,20969,16660,15076,15031,10432,8364,8883
"237","Croydon","London Borough",27974,27394,25426,22081,19551,26071,29607,30018,26983,26361,27842,24745,19139,15151,13131,9267,7520,7085
"238","Ealing","London Borough",24600,24470,21248,18604,18965,25140,28250,28864,25744,24456,22596,19199,16105,13434,10401,7846,6248,5812
"239","Enfield","London Borough",24321,24947,22955,19611,18837,24898,25713,25375,22598,22828,23212,19675,14996,12214,10864,8313,6403,6109
"240","Greenwich","London Borough",21953,20584,17464,15038,18022,24724,26840,26274,22191,19423,17738,14881,11274,8843,7885,5267,3968,3817
"241","Harrow","London Borough",17745,16783,15080,13767,13528,17457,19119,19467,17210,16432,15926,15278,13155,11190,9598,6996,5740,5678
"242","Havering","London Borough",17370,16510,15098,13909,14549,17862,18268,17882,15667,16492,17739,16362,13666,11968,11796,8302,6938,7432
"243","Hillingdon","London Borough",22489,21776,18910,17639,20324,22959,23809,24558,21302,19778,19510,17264,13872,11157,10256,7313,6149,5759
"244","Hounslow","London Borough",20363,19871,16234,13927,15349,20509,23996,24457,21140,18339,17155,14644,12192,10234,8198,5884,4422,3868
"245","Kingston upon Thames","London Borough",11291,11896,10478,9047,11942,13087,13632,14705,13486,12742,11376,9778,7825,6931,6193,4261,3141,3659
"246","Merton","London Borough",14994,14324,11905,9427,10526,15206,18417,20163,16280,14608,13771,11456,9106,7748,6331,4737,3550,3637
